id,game,label,name_str_id,ip_type,effect,int0,int1,float0,float1,condition_script,vfx,scaling_vector,base_cost,is_negative,proc_chance,base_duration,projectile_crust,ability_id
0,da2,invalid,,,,,,,,,,,,,,,,
1000,da2,(passive):Attribute - strength,,,,,,,,,,,,,,,,
1001,da2,(passive):Attribute - dexterity,,,,,,,,,,,,,,,,
1002,da2,(passive):Attribute - magic,,,,,,,,,,,,,,,,
1003,da2,(passive):Attribute - cunning,,,,,,,,,,,,,,,,
1004,da2,(passive):Attribute - willpower,,,,,,,,,,,,,,,,
1005,da2,(passive):Attribute - constitution,,,,,,,,,,,,,,,,
1006,da2,(passive):Attribute - all,,,,,,,,,,,,,,,,
1100,da2,(passive):Property - health,,,,,,,,,,,,,,,,
1101,da2,(passive):Property - mana,,,,,,,,,,,,,,,,
1102,da2,(passive):Property - attack,,,,,,,,,,,,,,,,
1103,da2,(passive):Property - defense,,,,,,,,,,,,,,,,
1104,da2,(passive):Property - stamina,,,,,,,,,,,,,,,,
1105,da2,(passive):Property - critical chance,,,,,,,,,,,,,,,,
1106,da2,(passive):Property - damage factor - critical,,,,,,,,,,,,,,,,
1107,da2,(passive):Property - armor(metal),,,,,,,,,,,,,,,,
1108,da2,(passive):Property - armor(leather),,,,,,,,,,,,,,,,
1109,da2,(passive):Property - armor(cloth),,,,,,,,,,,,,,,,
1110,da2,(passive):Property - health regen,,,,,,,,,,,,,,,,
1111,da2,(passive):Property - mana regen,,,,,,,,,,,,,,,,
1113,da2,(passive):Property - damage factor - physical,,,,,,,,,,,,,,,,
1114,da2,(passive):Property - damage factor - fire,,,,,,,,,,,,,,,,
1115,da2,(passive):Property - damage factor - cold,,,,,,,,,,,,,,,,
1116,da2,(passive):Property - damage factor - electrical,,,,,,,,,,,,,,,,
1117,da2,(passive):Property - damage factor - nature,,,,,,,,,,,,,,,,
1118,da2,(passive):Property - damage factor - spirit,,,,,,,,,,,,,,,,
1119,da2,(passive):Property - healing done,,,,,,,,,,,,,,,,
1120,da2,(passive):Property - healing taken,,,,,,,,,,,,,,,,
1121,da2,(passive):Property - stamina regen,,,,,,,,,,,,,,,,
1122,da2,(passive):Property - bloodmage cost,,,,,,,,,,,,,,,,
1123,da2,(passive):Property - attack speed,,,,,,,,,,,,,,,,
1200,da2,(Passive): Resistance - Elemental - Fire,,,,,,,,,,,,,,,,
1201,da2,(Passive): Resistance - Elemental - Cold,,,,,,,,,,,,,,,,
1202,da2,(Passive): Resistance - Elemental - Electricity,,,,,,,,,,,,,,,,
1203,da2,(Passive): Resistance - Elemental - Nature,,,,,,,,,,,,,,,,
1204,da2,(Passive): Resistance - Elemental - Spirit,,,,,,,,,,,,,,,,
1205,da2,(Passive): Resistance - Damage,,,,,,,,,,,,,,,,
1210,da2,(Passive): Resistance - Magic,,,,,,,,,,,,,,,,
1211,da2,(Passive): Resistance - Force,,,,,,,,,,,,,,,,
2000,da2,(On-Hit): Damage - Physical,,,,,,,,,,,,,,,,
2001,da2,(On-Hit): Damage - Physical (AOE),,,,,,,,,,,,,,,,
2002,da2,(On-Hit): Damage - Fire,,,,,,,,,,,,,,,,
2003,da2,(On-Hit): Damage - Fire (AOE),,,,,,,,,,,,,,,,
2004,da2,(On-Hit): Damage - Cold,,,,,,,,,,,,,,,,
2005,da2,(On-Hit): Damage - Cold (AOE),,,,,,,,,,,,,,,,
2006,da2,(On-Hit): Damage - Electricity,,,,,,,,,,,,,,,,
2007,da2,(On-Hit): Damage - Electricity (AOE),,,,,,,,,,,,,,,,
2008,da2,(On-Hit): Damage - Nature,,,,,,,,,,,,,,,,
2009,da2,(On-Hit): Damage - Nature (AOE),,,,,,,,,,,,,,,,
2010,da2,(On-Hit): Damage - Spirit,,,,,,,,,,,,,,,,
2011,da2,(On-Hit): Damage - Spirit (AOE),,,,,,,,,,,,,,,,
2100,da2,(On-Hit): Chance to Knockback,,,,,,,,,,,,,,,,
2101,da2,(On-Hit): Chance to Stun,,,,,,,,,,,,,,,,
2102,da2,(On-Hit): Chance to Reduce Speed,,,,,,,,,,,,,,,,
2201,da2,(On-Hit): Chance to Charm,,,,,,,,,,,,,,,,
2202,da2,(On-Hit): Chance to inflict Walking Bomb,,,,,,,,,,,,,,,,
2204,da2,(On-Hit): Life Leach,,,,,,,,,,,,,,,,
2205,da2,(On-Hit): Energy Leach,,,,,,,,,,,,,,,,
2206,da2,(On-Hit): Dispel,,,,,,,,,,,,,,,,
2300,da2,(On-Hit-[Internal]): Poison - Debilitating Poison,,,,,,,,,,,,,,,,
2301,da2,(On-Hit-[Internal]): Poison - Crow Venom,,,,,,,,,,,,,,,,
2302,da2,(On-Hit-[Internal]): Poison - Deathroot Toxin,,,,,,,,,,,,,,,,
2303,da2,(On-Hit-[Internal]): Poison - Arcane Poison,,,,,,,,,,,,,,,,
2304,da2,(On-Hit-[Internal]): Poison - Fel-Poison,,,,,,,,,,,,,,,,
2400,da2,(On-Hit): Bonus Damage to Humans,,,,,,,,,,,,,,,,
